"","genes","logFC","logCPM","F","PValue","FDR"
"PDLIM7","PDLIM7",-0.78059175121918,5.8330703591987,1.63252126915744,0.201357318607736,0.943547120959745
"SURF6","SURF6",4.10100697831462,1.56911827934198,1.63196416286234,0.201434234700835,0.943547120959745
"EXOSC5","EXOSC5",3.71503005530049,2.05599573237141,1.63084246739448,0.201589204868182,0.943547120959745
"LOC101112919","LOC101112919",4.43664859946811,0.265857304061708,1.63040944617679,0.201649067332678,0.943547120959745
"TRAF3IP2","TRAF3IP2",4.47005772548636,1.0462710780844,1.62931791469157,0.201800057531871,0.943547120959745
"LOC101105269","LOC101105269",3.38218317633544,2.27471952184936,1.62914487314536,0.201824006368128,0.943547120959745
"ESR2","ESR2",4.61144787003946,-0.094315124099298,1.62803775600299,0.201977309822039,0.943547120959745
"GPBP1","GPBP1",0.495209492032562,8.06194869721817,1.62753345212411,0.202047186632029,0.943547120959745
"AAR2","AAR2",-3.50921568407084,2.24601339512631,1.62746133328854,0.202057181809251,0.943547120959745
"BCL7B","BCL7B",-3.11732274334291,2.51989754795343,1.62659843685014,0.202176818497836,0.943547120959745
"LOC105612524","LOC105612524",3.31955444322685,2.32762655500837,1.62616073361517,0.202237535940753,0.943547120959745
"LOC101115435","LOC101115435",4.26934759174003,0.574041591331942,1.626055173056,0.202252182332636,0.943547120959745
"IRF5","IRF5",-4.41216985969942,0.0834385191412375,1.62538036193964,0.202345841014475,0.943547120959745
"RCCD1","RCCD1",4.14652092746988,0.763611190724954,1.62322189692154,0.202645762661115,0.943547120959745
"C5AR2","C5AR2",4.28714851653074,0.505364441774209,1.62141207852503,0.202897642866316,0.943547120959745
"PLCG2","PLCG2",3.81768201311923,1.28352841554669,1.62133629700857,0.202908197744797,0.943547120959745
"LOC105604663","LOC105604663",4.53351722444925,0.0275281904057169,1.62130632225533,0.202912372818308,0.943547120959745
"DLG1","DLG1",0.668650629814462,6.33250865449613,1.62098193723748,0.202957561690712,0.943547120959745
"LDHB","LDHB",0.865512739028624,5.53225865991879,1.62009515746379,0.203081156188492,0.943547120959745
"PEX10","PEX10",4.08964233793773,0.865200801953303,1.61881725275572,0.203259419490484,0.943547120959745
"LOC105609336","LOC105609336",4.53358721377554,0.0153694292414306,1.61840988452855,0.203316284694021,0.943547120959745
"RNF14","RNF14",-0.601791050930467,6.762788919846,1.61766561593575,0.203420226783681,0.943547120959745
"OGFR","OGFR",4.10331802255404,1.53839591992018,1.61756046101346,0.203434917419051,0.943547120959745
"PDIA5","PDIA5",-4.45956433078997,-0.0657778732994029,1.61666071086634,0.203560667848291,0.943547120959745
"LOC101123279","LOC101123279",0.486874957614278,8.22113363256059,1.61644794417485,0.20359041782812,0.943547120959745
"LOC101122769","LOC101122769",4.28727131037077,0.478233449013572,1.61420958102512,0.203903706343346,0.943547120959745
"MYB","MYB",4.14661270426962,0.732185482394651,1.61400420832645,0.203932479413291,0.943547120959745
"ANAPC10","ANAPC10",-2.25562595072451,3.31902565807262,1.61380271180385,0.203960714075221,0.943547120959745
